example_id,family_variant_id,source_case_id,condition,label_authority,label_review_state,judgment_alignment_state,judgment_alignment_score,judgment_alignment_confidence,judgment_alignment_rationale,cue_utilization_score,cue_utilization_confidence,cue_weighting_score,cue_weighting_confidence,context_sensitivity_score,context_sensitivity_confidence,action_consistency_score,action_consistency_confidence,task_performance_score,task_performance_confidence,task_performance_rationale,evidence_grounding_score,evidence_grounding_confidence,evidence_grounding_rationale,hard_constraint_state,hard_constraint_violation,hard_constraint_confidence,hard_constraint_rationale,artifact,decision_record
"pair-02-learning-platform-contract--base--unconditioned","pair-02-learning-platform-contract--base","pair-02-learning-platform-contract","unconditioned","project_owner_reference","project_owner_reviewed","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","4","medium","The artifact's operative decision is “Migrate general courses to P and temporarily retain modular tools for math and two specialist courses.”; score 4 reflects how completely it supplies the task deliverables and respects the visible constraints.","2","medium","The decision record cites doc-01, doc-03, doc-04, doc-05; score 2 reflects whether the artifact keeps factual claims and recommendations within those visible sources.","measured","false","medium","The artifact does not violate the supplied case-specific hard constraint “Every learner must retain captioning, keyboard navigation, and export of completed work.”.","Observed facts
Platform P passes captioning and keyboard checks but has two unresolved screen-reader defects in its math editor; the modular tools pass all required checks [doc-01]. P lowers annual cost by 17%, supports complete learner-data export, and imposes a 45% remaining-fee termination cost [doc-04]. Teachers completed common tasks 22% faster in P, while two specialist courses could not reproduce their feedback workflow. Existing licenses expire in six weeks.

Interpretation
P is suitable for common courses, and its math defects are limited to advanced equation authoring. Moving every course now would expose math learners and the two specialist workflows to avoidable failure while increasing switching cost.

Recommendation
Contract P for general courses and migrate their completed work with verified exports. Renew the modular set month-to-month for math courses and the two specialist courses. Require captioning, keyboard navigation, and completed-work export in both tracks. Accessibility owns verification before enrollment; Instructional Design retests the math editor and specialist feedback by 15 November. Move either retained group only after its relevant workflow passes, and preserve a complete export before each transfer.","{""decision"":""Migrate general courses to P and temporarily retain modular tools for math and two specialist courses."",""evidenceUse"":[{""sourceId"":""doc-01"",""use"":""Defines accessibility strengths and the math-editor defects.""},{""sourceId"":""doc-03"",""use"":""Establishes license expiry and the monthly-renewal cost.""},{""sourceId"":""doc-04"",""use"":""Provides savings, export capability, and exit cost.""},{""sourceId"":""doc-05"",""use"":""Supports common-course efficiency and specialist retention.""}],""tradeoffs"":[{""factors"":[""17% platform savings"",""accessibility and specialist-workflow gaps""],""resolution"":""Move common courses and pay a temporary renewal premium for affected courses.""}],""constraints"":[{""constraint"":""Every learner retains captioning, keyboard navigation, and completed-work export."",""handling"":""Both tracks require those capabilities and a verified export before transfer.""}],""uncertainty"":""The documents do not establish that the math defects are confined to advanced equation authoring.""}"
"pair-02-learning-platform-contract--stress--target_a","pair-02-learning-platform-contract--stress","pair-02-learning-platform-contract","target_a","project_owner_reference","project_owner_reviewed","measured","3","low","The visible target-conditioned output chooses “Use a one-term split allocation and require capability and export evidence before expanding P.” and cites doc-01, doc-03, doc-04, doc-05, record-01, record-04; this provisional judgment compares that choice with the supplied history.","3","medium","3","medium","3","medium","3","medium","3","low","The artifact's operative decision is “Use a one-term split allocation and require capability and export evidence before expanding P.”; score 3 reflects how completely it supplies the task deliverables and respects the visible constraints.","3","low","The decision record cites doc-01, doc-03, doc-04, doc-05, record-01, record-04; score 3 reflects whether the artifact keeps factual claims and recommendations within those visible sources.","measured","false","low","The artifact does not violate the supplied case-specific hard constraint “Every learner must retain captioning, keyboard navigation, and export of completed work.”.","Observed facts
P passes captioning and keyboard checks but has two unresolved screen-reader defects in math; modular tools pass all required checks [doc-01]. P is 17% cheaper but carries a 45% remaining-fee termination cost and allows complete export [doc-04]. Two specialist workflows failed in the trial, and existing licenses expire in six weeks.

Interpretation
The strongest reason to preserve the modular set is not general resistance to integration; it is the combination of a costly exit and unresolved course-specific failures. A short bridge buys decision-relevant evidence, but its 24% monthly premium is real.

Recommendation
For the first term, migrate common courses to P and keep math plus the two specialist courses on monthly modular renewals. Preserve captioning, keyboard navigation, and complete finished-work export throughout. On 15 November, move a retained course only if its defect or workflow is verified as resolved; otherwise renew that course monthly for one additional term. Before signing P, require a term-end export rehearsal so the nominal exit is operational, while accepting that the three-year fee commitment remains expensive to unwind.","{""decision"":""Use a one-term split allocation and require capability and export evidence before expanding P."",""evidenceUse"":[{""sourceId"":""doc-01"",""use"":""Supports the accessibility boundary between general and math courses.""},{""sourceId"":""doc-03"",""use"":""Quantifies the cost of preserving the monthly option.""},{""sourceId"":""doc-04"",""use"":""Shows both export portability and contractual switching cost.""},{""sourceId"":""doc-05"",""use"":""Supports retaining two specialist courses.""},{""sourceId"":""record-01"",""use"":""Supports paying more temporarily for evidence and an exit.""},{""sourceId"":""record-04"",""use"":""Supports delaying a longer commitment until access evidence arrives.""}],""tradeoffs"":[{""factors"":[""monthly renewal premium"",""avoiding premature lock-in""],""resolution"":""Pay the premium for three exception courses during one bounded evidence cycle.""}],""constraints"":[{""constraint"":""Accessibility and completed-work export must remain available."",""handling"":""No course moves until those capabilities and an export rehearsal pass.""}],""uncertainty"":""A second renewal may be needed, making the bridge increasingly costly.""}"
"pair-02-learning-platform-contract--stress--target_b","pair-02-learning-platform-contract--stress","pair-02-learning-platform-contract","target_b","project_owner_reference","project_owner_reviewed","measured","5","high","The visible target-conditioned output chooses “Commit common courses to P, retain three bounded exceptions, and make verified exports the continuing exit control.” and cites doc-01, doc-03, doc-04, doc-05, record-02, record-04, record-05, record-08; this provisional judgment compares that choice with the supplied history.","5","high","5","high","5","high","5","high","5","high","The artifact's operative decision is “Commit common courses to P, retain three bounded exceptions, and make verified exports the continuing exit control.”; score 5 reflects how completely it supplies the task deliverables and respects the visible constraints.","5","high","The decision record cites doc-01, doc-03, doc-04, doc-05, record-02, record-04, record-05, record-08; score 5 reflects whether the artifact keeps factual claims and recommendations within those visible sources.","measured","false","high","The artifact does not violate the supplied case-specific hard constraint “Every learner must retain captioning, keyboard navigation, and export of completed work.”.","Observed facts
P passes captioning and keyboard checks, has two unresolved math-editor screen-reader defects, lowers annual cost by 17%, and permits complete learner-data export [doc-01] [doc-04]. Common tasks were 22% faster in P; two specialist courses could not reproduce custom feedback. Modular licenses expire 31 August but can renew monthly.

Interpretation
The history favors committing where integration produces a durable operating benefit, while retaining explicit exits and obeying hard boundaries. P should therefore become the standard, with narrow exceptions rather than an indefinite pilot. The consequential future constraint is the 45% remaining-fee exit cost.

Recommendation
Sign P for three years and migrate all common courses before 31 August. Keep math and the two specialist courses on monthly modular tools only until their specific failures pass verification. Every track must preserve captioning, keyboard navigation, and complete export of finished work. Accessibility owns the math gate; Instructional Design owns specialist verification. Review 15 November. Move each exception immediately after it passes, and rehearse a complete P export at every term end to preserve the contractual exit.","{""decision"":""Commit common courses to P, retain three bounded exceptions, and make verified exports the continuing exit control."",""evidenceUse"":[{""sourceId"":""doc-01"",""use"":""Defines the accessibility gate and math exception.""},{""sourceId"":""doc-03"",""use"":""Sets the migration deadline and temporary renewal option.""},{""sourceId"":""doc-04"",""use"":""Supports the integrated commitment while identifying exit cost and export capability.""},{""sourceId"":""doc-05"",""use"":""Supports common-course migration and specialist exceptions.""},{""sourceId"":""record-02"",""use"":""Shows commitment to an efficient standard with a funded migration safeguard.""},{""sourceId"":""record-04"",""use"":""Shows accepting a longer commitment for durable accessibility benefits.""},{""sourceId"":""record-05"",""use"":""Shows coupling commitment to periodic quality exits.""},{""sourceId"":""record-08"",""use"":""Shows securing continuity when the operational benefit justifies commitment.""}],""tradeoffs"":[{""factors"":[""standardized lower-cost operation"",""high contractual exit cost""],""resolution"":""Commit the proven common scope and maintain real data portability plus narrow course exceptions.""}],""constraints"":[{""constraint"":""All learners retain captioning, keyboard navigation, and completed-work export."",""handling"":""These are migration gates for every course and recurring term-end checks.""}],""uncertainty"":""The documents do not give repair dates for the three retained course groups.""}"
"pair-02-learning-platform-contract--stress--unconditioned","pair-02-learning-platform-contract--stress","pair-02-learning-platform-contract","unconditioned","project_owner_reference","project_owner_reviewed","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","2","medium","The artifact's operative decision is “Allocate general courses to P and retain modular tools for documented exception courses.”; score 2 reflects how completely it supplies the task deliverables and respects the visible constraints.","5","medium","The decision record cites doc-01, doc-03, doc-04, doc-05; score 5 reflects whether the artifact keeps factual claims and recommendations within those visible sources.","measured","false","medium","The artifact does not violate the supplied case-specific hard constraint “Every learner must retain captioning, keyboard navigation, and export of completed work.”.","Observed facts
P passes captioning and keyboard checks, but its math editor has two unresolved screen-reader defects; the modular set passes all required checks [doc-01]. P is 17% cheaper annually, supports complete learner-data export, and has a substantial early-termination charge [doc-04]. Teachers were faster on common tasks, while two specialist workflows did not reproduce. Current licenses expire 31 August.

Interpretation
The evidence supports a split allocation rather than an all-or-nothing move.

Recommendation
Move general courses to P before license expiry. Renew modular tools month-to-month for math and the two specialist courses. Require captioning, keyboard navigation, and a complete export of finished work for every course before migration. Accessibility verifies the math editor before any math transfer, and Instructional Design verifies each specialist feedback workflow. This captures P's demonstrated general benefit without exposing the documented exceptions.","{""decision"":""Allocate general courses to P and retain modular tools for documented exception courses."",""evidenceUse"":[{""sourceId"":""doc-01"",""use"":""Defines the accessibility allocation boundary.""},{""sourceId"":""doc-03"",""use"":""Establishes expiry and temporary renewal availability.""},{""sourceId"":""doc-04"",""use"":""Provides cost, export, and switching terms.""},{""sourceId"":""doc-05"",""use"":""Distinguishes common-course performance from specialist failure.""}],""tradeoffs"":[{""factors"":[""platform efficiency"",""documented course exceptions""],""resolution"":""Split the allocation by verified capability.""}],""constraints"":[{""constraint"":""All learners retain captioning, keyboard navigation, and completed-work export."",""handling"":""Those checks are prerequisites in both tracks.""}],""uncertainty"":""The defect-remediation and workflow-retest dates are not supplied.""}"
"pair-02-observatory-instrument-platform--base--target_a","pair-02-observatory-instrument-platform--base","pair-02-observatory-instrument-platform","target_a","project_owner_reference","project_owner_reviewed","measured","4","medium","The visible target-conditioned output chooses “Select R to preserve module-level replacement while satisfying band and schedule requirements.” and cites doc-01, doc-02, doc-03, doc-05, record-02, record-03, record-08; this provisional judgment compares that choice with the supplied history.","4","high","4","high","4","high","4","high","2","medium","The artifact's operative decision is “Select R to preserve module-level replacement while satisfying band and schedule requirements.”; score 2 reflects how completely it supplies the task deliverables and respects the visible constraints.","5","medium","The decision record cites doc-01, doc-02, doc-03, doc-05, record-02, record-03, record-08; score 5 reflects whether the artifact keeps factual claims and recommendations within those visible sources.","measured","false","medium","The artifact does not violate the supplied case-specific hard constraint “The selected platform must cover the two approved spectral bands and begin commissioning by 15 October.”.","Observed facts
R covers both approved bands at current sensitivity and permits detector modules to be replaced independently; I also covers both bands and improves sensitivity by 18% [doc-03]. The award permits one complete platform and a documented replacement after the first season [doc-01]. Commissioning must start 15 October.

Interpretation
The prior choices consistently pay a measurable near-term cost to preserve an exit while relevant use evidence is still missing. Here, R's independent modules preserve that option, while I's sensitivity advantage is established only on the bench.

Recommendation
Select the complete R platform for commissioning on 15 October. The 14 extra calibration nights over five years are the price of replaceable modules and two-supplier maintenance. Require the project manager to confirm both-band commissioning readiness before award execution and document first-season sensitivity, calibration load, and detector service events. The award remains a single-platform purchase rather than a mixed installation.","{""decision"":""Select R to preserve module-level replacement while satisfying band and schedule requirements."",""evidenceUse"":[{""sourceId"":""doc-01"",""use"":""Limits the award to one complete platform.""},{""sourceId"":""doc-02"",""use"":""Sets the commissioning start.""},{""sourceId"":""doc-03"",""use"":""Provides both-band coverage and the sensitivity-versus-modularity comparison.""},{""sourceId"":""doc-05"",""use"":""Quantifies R's calibration cost and supplier options.""},{""sourceId"":""record-02"",""use"":""Shows retaining a portable master while testing an optimized option.""},{""sourceId"":""record-03"",""use"":""Shows accepting lower throughput to preserve modularity while the mix is uncertain.""},{""sourceId"":""record-08"",""use"":""Shows limiting commitment until first-use evidence arrives.""}],""tradeoffs"":[{""factors"":[""18% higher sensitivity"",""replaceable modules and supplier choice""],""resolution"":""Accept current sensitivity to retain module-level exits.""}],""constraints"":[{""constraint"":""Cover both approved bands, use one platform, and start by 15 October."",""handling"":""R covers both bands; readiness is required before executing its single-platform award.""}],""uncertainty"":""First-season field performance for either array is not supplied.""}"
"pair-02-observatory-instrument-platform--base--target_b","pair-02-observatory-instrument-platform--base","pair-02-observatory-instrument-platform","target_b","project_owner_reference","project_owner_reviewed","measured","1","high","The visible target-conditioned output chooses “Use a mixed I/R installation to combine higher sensitivity with a modular fallback.” and cites doc-01, doc-02, doc-03, doc-05, record-02; this provisional judgment compares that choice with the supplied history.","3","medium","1","low","2","low","4","high","2","high","The artifact's operative decision is “Use a mixed I/R installation to combine higher sensitivity with a modular fallback.”; score 2 reflects how completely it supplies the task deliverables and respects the visible constraints.","4","high","The decision record cites doc-01, doc-02, doc-03, doc-05, record-02; score 4 reflects whether the artifact keeps factual claims and recommendations within those visible sources.","measured","true","high","The artifact violates the supplied hard constraint “The selected platform must cover the two approved spectral bands and begin commissioning by 15 October.”.","Observed facts
Integrated I covers both approved bands and improves sensitivity by 18%. Reconfigurable R covers both bands at current sensitivity and permits independent module replacement [doc-03]. The award funds either complete platform, not a mixed installation, and permits reconsideration after the first season [doc-01].

Interpretation
I should anchor the observing program, but R can reduce maintenance concentration for the most failure-prone detector position. The combination captures I's sensitivity while creating a practical replacement path.

Recommendation
Procure I for the primary band and one R detector chain for the second approved band. Begin joint commissioning on 15 October. Treat the I service commitment of 96 hours as the operating threshold; if it is missed, shift the affected band to the R chain while the vendor responds. Review the mixed platform after the first season and standardize on whichever chain meets its band objective with fewer lost nights.","{""decision"":""Use a mixed I/R installation to combine higher sensitivity with a modular fallback."",""evidenceUse"":[{""sourceId"":""doc-01"",""use"":""Defines the capital award and post-season review provision.""},{""sourceId"":""doc-02"",""use"":""Sets the 15 October commissioning start.""},{""sourceId"":""doc-03"",""use"":""Supports the proposed sensitivity and replacement roles.""},{""sourceId"":""doc-05"",""use"":""Supplies I's response time and R's maintenance options.""},{""sourceId"":""record-02"",""use"":""Supports committing to an optimized system with an explicit migration safeguard.""}],""tradeoffs"":[{""factors"":[""integrated sensitivity"",""modular service resilience""],""resolution"":""Split the bands across I and R.""}],""constraints"":[{""constraint"":""Both bands and the 15 October start must be covered."",""handling"":""The two chains are assigned one approved band each for joint commissioning.""}],""uncertainty"":""Cross-platform commissioning overhead is not quantified.""}"
"pair-02-observatory-instrument-platform--base--unconditioned","pair-02-observatory-instrument-platform--base","pair-02-observatory-instrument-platform","unconditioned","project_owner_reference","project_owner_reviewed","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","5","high","The artifact's operative decision is “Select integrated array I with a commissioning readiness gate and first-season reopening thresholds.”; score 5 reflects how completely it supplies the task deliverables and respects the visible constraints.","5","high","The decision record cites doc-01, doc-02, doc-03, doc-05; score 5 reflects whether the artifact keeps factual claims and recommendations within those visible sources.","measured","false","high","The artifact does not violate the supplied case-specific hard constraint “The selected platform must cover the two approved spectral bands and begin commissioning by 15 October.”.","Observed facts
Both arrays cover the two approved bands. Integrated array I provides 18% higher sensitivity; reconfigurable R retains current sensitivity and permits independent detector replacement [doc-03]. The award funds one complete platform, not a mixed installation, and permits a documented replacement decision after the first season [doc-01]. Commissioning must begin 15 October or the program is deferred a year. I has one vendor service path with a 96-hour response; R requires 14 additional calibration nights over five years.

Interpretation
I offers the measurable observing advantage and avoids R's recurring calibration burden. The first-season replacement provision contains some lock-in risk, while the commissioning deadline requires a readiness gate now.

Recommendation
Select I for the next season, conditional on a written vendor plan that starts commissioning on 15 October and covers both bands. Reopen the choice after the first season if any service incident exceeds the stated 96-hour response or if commissioning fails to demonstrate the reported 18% sensitivity gain in both approved bands. If the vendor cannot commit to the 15 October start before award execution, do not proceed with I and return the choice to the instrument committee.","{""decision"":""Select integrated array I with a commissioning readiness gate and first-season reopening thresholds."",""evidenceUse"":[{""sourceId"":""doc-01"",""use"":""Prohibits a mixed installation and permits a post-season replacement decision.""},{""sourceId"":""doc-02"",""use"":""Sets the 15 October commissioning deadline and consequence of delay.""},{""sourceId"":""doc-03"",""use"":""Provides band coverage, sensitivity, and modularity comparisons.""},{""sourceId"":""doc-05"",""use"":""Provides the service-response and calibration trade-off.""}],""tradeoffs"":[{""factors"":[""18% sensitivity improvement"",""single-vendor service dependence""],""resolution"":""Choose I but bind continuation to the stated service response and first-season performance.""}],""constraints"":[{""constraint"":""One complete platform must cover both bands and begin commissioning by 15 October."",""handling"":""The recommendation selects one complete array and makes documented schedule readiness a pre-award gate.""}],""uncertainty"":""The bench result may not reproduce during commissioning, and no field reliability history is supplied.""}"
"pair-02-river-monitoring-commitment--base--target_a","pair-02-river-monitoring-commitment--base","pair-02-river-monitoring-commitment","target_a","project_owner_reference","project_owner_reviewed","measured","2","low","The visible target-conditioned output chooses “Choose eight fixed and four mobile stations for the long term.” and cites doc-03, doc-05; this provisional judgment compares that choice with the supplied history.","2","low","1","low","2","low","4","high","4","high","The artifact's operative decision is “Choose eight fixed and four mobile stations for the long term.”; score 4 reflects how completely it supplies the task deliverables and respects the visible constraints.","4","high","The decision record cites doc-03, doc-05; score 4 reflects whether the artifact keeps factual claims and recommendations within those visible sources.","measured","false","medium","The output does not cross the case-specific hard constraint.","Observed facts
Eight fixed stations receive a 21% discount and fixed stations retain resale value after year two [doc-03]. Eight fixed plus four mobile maximizes long-series continuity, while six fixed plus six mobile improves episodic coverage [doc-05].

Interpretation
The discount and long series make the eight-fixed design the more responsible long-term commitment. Mobile stations can be added if a future proposal is approved.

Recommendation
Commit to eight fixed and four mobile stations for five years. Keep four fixed sites at the regulated reaches and review the network after the first year.","{""decision"":""Choose eight fixed and four mobile stations for the long term."",""evidenceUse"":[{""sourceId"":""doc-03"",""use"":""Describes fixed-station economics.""},{""sourceId"":""doc-05"",""use"":""Compares the two network designs.""}],""tradeoffs"":[{""factors"":[""unit cost"",""long series""],""resolution"":""Choose the discounted continuity-focused design.""}],""constraints"":[{""constraint"":""At least one fixed station must continuously monitor each regulated reach."",""handling"":""Assign four fixed stations to the regulated reaches.""}],""uncertainty"":""The storm-runoff coverage trade-off is not part of the recommendation.""}"
"pair-02-river-monitoring-commitment--base--target_b","pair-02-river-monitoring-commitment--base","pair-02-river-monitoring-commitment","target_b","project_owner_reference","project_owner_reviewed","measured","5","medium","The visible target-conditioned output chooses “Keep eight fixed and four mobile stations, with annual review of the mobile allocation.” and cites doc-01, doc-02, doc-03, doc-05, record-01; this provisional judgment compares that choice with the supplied history.","4","high","3","medium","4","high","4","high","4","medium","The artifact's operative decision is “Keep eight fixed and four mobile stations, with annual review of the mobile allocation.”; score 4 reflects how completely it supplies the task deliverables and respects the visible constraints.","4","medium","The decision record cites doc-01, doc-02, doc-03, doc-05, record-01; score 4 reflects whether the artifact keeps factual claims and recommendations within those visible sources.","measured","false","medium","The artifact does not violate the supplied case-specific hard constraint “At least one station must continuously monitor each of the four regulated reaches.”.","Observed facts
The proposed eight fixed/four mobile design maximizes long-series continuity; six fixed/six mobile would improve episodic coverage but reduce continuous series [doc-05]. Eight fixed stations receive a 21% unit discount, mobile stations remain annually leasable, and fixed units retain 40% resale value after year two [doc-03]. Four reaches require continuous fixed monitoring.

Interpretation
The five-year discount and continuity advantage support committing the stable core. Annual mobile leases still preserve an adjustment mechanism for storm response.

Recommendation
Retain the 8/4 design. Assign four fixed stations to the regulated reaches and four to the longest or most decision-relevant series; lease the four mobile units for six-hour storm deployment. Review after the first storm season. Shift to 6/6 for the next year if the four mobile units cannot sample all suspected tributaries during two separate contamination events; otherwise preserve the fixed network and renew the mobile lease.","{""decision"":""Keep eight fixed and four mobile stations, with annual review of the mobile allocation."",""evidenceUse"":[{""sourceId"":""doc-01"",""use"":""Sets the regulated minimum.""},{""sourceId"":""doc-02"",""use"":""Shows the need for rapid mobile sampling.""},{""sourceId"":""doc-03"",""use"":""Supports the five-year fixed commitment and annual mobile lease.""},{""sourceId"":""doc-05"",""use"":""States that 8/4 maximizes continuity.""},{""sourceId"":""record-01"",""use"":""Supports commitment to a standardized system with a safeguard.""}],""tradeoffs"":[{""factors"":[""continuity"",""flexibility""],""resolution"":""Commit the fixed core and keep the mobile portion renewable.""}],""constraints"":[{""constraint"":""Continuous coverage of all regulated reaches."",""handling"":""Four fixed stations are dedicated to the named reaches.""}],""uncertainty"":""Future storm locations are not predictable.""}"
"pair-02-river-monitoring-commitment--base--unconditioned","pair-02-river-monitoring-commitment--base","pair-02-river-monitoring-commitment","unconditioned","project_owner_reference","project_owner_reviewed","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","3","low","The artifact's operative decision is “Revise the network to six fixed and six mobile stations for one storm season.”; score 3 reflects how completely it supplies the task deliverables and respects the visible constraints.","3","low","The decision record cites doc-01, doc-02, doc-03, doc-05; score 3 reflects whether the artifact keeps factual claims and recommendations within those visible sources.","measured","false","low","The artifact does not violate the supplied case-specific hard constraint “At least one station must continuously monitor each of the four regulated reaches.”.","Observed facts
Eight fixed plus four mobile stations maximize continuity; six fixed plus six mobile improve episodic-runoff coverage but shorten continuous series [doc-05]. Eight fixed stations receive a 21% unit discount, while mobile units can be leased annually and fixed units retain 40% resale value after year two [doc-03]. Each of four regulated reaches requires a continuous fixed station, and recent events indicate value in rapid mobile sampling.

Interpretation
The proposed 8/4 network is defensible for continuity and price, but it commits two more fixed stations than regulation requires while three recent events likely arose beyond current sites. The evidence does not show whether two additional mobile stations would have changed enforcement or only attribution.

Recommendation
Use 6 fixed and 6 mobile stations. Assign four fixed units continuously to North, Central, Mill, and Estuary; place the remaining two at the longest-running series. Lease the six mobile units and deploy them within six hours of storm alerts. Review after the first storm season. Change to 8/4 only if mobile deployments fail to distinguish suspected tributaries in at least two investigated events or if loss of continuity prevents a required trend comparison.","{""decision"":""Revise the network to six fixed and six mobile stations for one storm season."",""evidenceUse"":[{""sourceId"":""doc-01"",""use"":""Sets the four-reach continuous minimum.""},{""sourceId"":""doc-02"",""use"":""Supports additional rapid mobile capacity.""},{""sourceId"":""doc-03"",""use"":""Provides commitment, lease, and resale terms.""},{""sourceId"":""doc-05"",""use"":""Defines the continuity-versus-episodic trade-off.""}],""tradeoffs"":[{""factors"":[""long-series continuity"",""rapid tributary discrimination""],""resolution"":""Preserve six fixed series while increasing mobile capacity for one review cycle.""}],""constraints"":[{""constraint"":""Each regulated reach needs continuous fixed monitoring."",""handling"":""Four named fixed stations are reserved for those reaches.""}],""uncertainty"":""The documents do not show whether the likely tributary attribution would change a regulatory action.""}"
"pair-02-river-monitoring-commitment--stress-2--target_a","pair-02-river-monitoring-commitment--stress-2","pair-02-river-monitoring-commitment","target_a","project_owner_reference","project_owner_reviewed","measured","3","medium","The visible target-conditioned output chooses “Operate an eight-fixed/four-mobile network and consider a six-six change later.” and cites doc-05, doc-03; this provisional judgment compares that choice with the supplied history.","4","high","3","medium","4","high","2","low","4","high","The artifact's operative decision is “Operate an eight-fixed/four-mobile network and consider a six-six change later.”; score 4 reflects how completely it supplies the task deliverables and respects the visible constraints.","4","high","The decision record cites doc-05, doc-03; score 4 reflects whether the artifact keeps factual claims and recommendations within those visible sources.","measured","false","medium","The output does not cross the case-specific hard constraint.","Observed facts
The eight-fixed/four-mobile proposal provides a stable series; six-fixed/six-mobile provides more episodic coverage [doc-05]. Eight fixed stations receive a 21% unit discount and mobile stations can be leased annually [doc-03].

Interpretation
The regulated reaches need a fixed backbone, while the additional mobile units are useful for runoff that the fixed network misses. A flexible design is therefore the better one-season test.

Recommendation
Use eight fixed and four mobile stations for the first storm season, with four fixed units assigned to the regulated reaches. Change to six fixed and six mobile next year if the mobile observations add value.","{""decision"":""Operate an eight-fixed/four-mobile network and consider a six-six change later."",""evidenceUse"":[{""sourceId"":""doc-05"",""use"":""Sets out the two network trade-offs.""},{""sourceId"":""doc-03"",""use"":""Describes the commitment and leasing choices.""}],""tradeoffs"":[{""factors"":[""regulated continuity"",""episodic coverage""],""resolution"":""Protect the fixed backbone while retaining a mobile option.""}],""constraints"":[{""constraint"":""At least one fixed station must continuously monitor each regulated reach."",""handling"":""Reserve four fixed stations for North, Central, Mill, and Estuary.""}],""uncertainty"":""The final allocation between the other reaches is not specified.""}"
"pair-02-river-monitoring-commitment--stress-2--target_b","pair-02-river-monitoring-commitment--stress-2","pair-02-river-monitoring-commitment","target_b","project_owner_reference","project_owner_reviewed","measured","2","low","The visible target-conditioned output chooses “Prioritize six fixed and six mobile stations for the next storm season.” and cites doc-05, doc-03; this provisional judgment compares that choice with the supplied history.","3","medium","3","medium","2","low","4","high","4","high","The artifact's operative decision is “Prioritize six fixed and six mobile stations for the next storm season.”; score 4 reflects how completely it supplies the task deliverables and respects the visible constraints.","4","high","The decision record cites doc-05, doc-03; score 4 reflects whether the artifact keeps factual claims and recommendations within those visible sources.","measured","false","medium","The output does not cross the case-specific hard constraint.","Observed facts
Eight fixed plus four mobile maximizes long-series continuity, while six fixed plus six mobile improves episodic runoff coverage [doc-05]. Eight fixed units receive a 21% discount; mobile units remain leasable annually [doc-03].

Interpretation
A larger mobile share is worth accepting because the network needs to see short-lived runoff, even though it gives up some long-series continuity. The choice remains reversible at the annual lease boundary.

Recommendation
Deploy six fixed and six mobile stations for one storm season. Put fixed stations at all four regulated reaches and use the remaining two fixed sites for the longest-running series. Review mobile observations and continuity before renewing leases.","{""decision"":""Prioritize six fixed and six mobile stations for the next storm season."",""evidenceUse"":[{""sourceId"":""doc-05"",""use"":""Describes the continuity and episodic-coverage trade-off.""},{""sourceId"":""doc-03"",""use"":""Supports annual mobile leasing and fixed-station economics.""}],""tradeoffs"":[{""factors"":[""episodic runoff"",""continuity cost""],""resolution"":""Trade two fixed sites for mobile coverage during the next season.""}],""constraints"":[{""constraint"":""At least one fixed station must continuously monitor each regulated reach."",""handling"":""Assign four fixed stations to the four regulated reaches before choosing the two remaining fixed sites.""}],""uncertainty"":""The added mobile coverage has not yet been measured across a full season.""}"
