"case_id","pair_id","contrast_family","domain","transfer_type","form","task_archetype","task_mode","instruction","document_titles","hard_constraint","review_status"
"pair-03-exhibition-voice-system","pair-03","local_adaptation_vs_coordination_and_standardization","editorial_creative_strategy","cue_conflict","professional_artifact","critique_revision","open_ended","Critique the proposed single voice guide for a traveling exhibition and write a revised editorial model that balances local interpretation with a coherent visitor experience.","Crate dimensions and loading order | Local curator roundtable | Noneditable source fields | Wayfinding and label study | One voice across six venues","Object provenance, dates, rights notices, and direct quotations must remain unchanged across venues.","pending_human_audit"
"pair-04-mobile-library-route","pair-04","procedural_legitimacy_vs_allocative_efficiency","public_resource_allocation","near_transfer","professional_artifact","recommendation","open_ended","Recommend a six-stop weekly mobile-library route. Decide whether to pause for resident input before assigning the final two stops and show how the evidence supports the recommendation.","District listening sessions | Feasible route combinations | Mobile access commitment | Mobile library exterior repaint | Requests, distance, and current access","At least one stop must serve each of the four districts and weekly driving may not exceed 180 kilometers.","pending_human_audit"
"pair-04-seed-fund-selection","pair-04","procedural_legitimacy_vs_allocative_efficiency","procurement_portfolio_allocation","far_transfer","dialogue","allocation_prioritization","bounded","Advise the investment committee how to allocate three equal seed awards and whether the analyst ranking can be used before the weighting dispute is addressed.","Seed fund assessment terms | Sponsor decision deadline | Seed project ranking | Award announcement venue | Joint applicant concern","Conflicted reviewers cannot score a project and awards must be announced by 30 August.","pending_human_audit"
"pair-04-accessibility-exam-rule","pair-04","procedural_legitimacy_vs_allocative_efficiency","education_coaching","boundary_condition","professional_artifact","design_threshold","bounded","Write a revised exam-accommodation decision rule after a dean proposes replacing individual review with a speed-based formula. Preserve lawful individualized consideration while making decisions timely.","Access panel recommendations | Exam hall seating map | Forty-eight-hour scoring rule | Individualized accommodation review | Accommodation queue analysis","No accommodation may be denied solely by an automated score; required individualized review and appeal rights must remain available.","pending_human_audit"
"pair-04-marketplace-ranking-review","pair-04","procedural_legitimacy_vs_allocative_efficiency","product_service_operations","cue_conflict","dialogue","critique_revision","open_ended","Respond to the marketplace lead about a ranking proposal that improves completed orders but was designed without seller consultation. Critique it and propose a launch decision that addresses both measured utility and procedural legitimacy.","Ranking experiment readout | Seller support office hours | Independent seller coalition letter | Quarter launch calendar | Ranking and sponsorship rules","Sponsored placement must remain labeled and sellers may not be penalized for declining the new fulfillment service.","pending_human_audit"
"pair-05-release-capacity-margin","pair-05","robustness_and_resilience_margin_vs_expected_performance_optimization","security_reliability","near_transfer","dialogue","recommendation","bounded","Recommend whether to reduce database headroom after three quiet months. Give a numeric capacity setting and an operational trigger for changing it.","Ninety-day database load | Capacity reduction proposal | Cross-region failover exercise | Capacity and recovery objective | Reliability offsite dates","Projected failover load must fit within the chosen setting without depending on the failed region.","pending_human_audit"
"pair-05-audience-demand-buffer","pair-05","robustness_and_resilience_margin_vs_expected_performance_optimization","editorial_creative_strategy","far_transfer","professional_artifact","allocation_prioritization","open_ended","Allocate a six-episode documentary slate between the proven interview format and experimental visual essays. Account for performance variance and production resilience.","Six visual essays pitch | Production capacity and fallback | Archive licensing window | Last season format performance | Studio chair inventory","All six commissioned episodes must be deliverable before the licensing window closes on 30 November.","pending_human_audit"
"pair-05-mandatory-reserve-stock","pair-05","robustness_and_resilience_margin_vs_expected_performance_optimization","procurement_portfolio_allocation","boundary_condition","dialogue","design_threshold","bounded","Design a stock-release rule for 1,000 filter cartridges after a proposal to consume the entire shipment for efficiency. Define routine-use and reserve thresholds.","Full-stock utilization note | Cartridge storage and expiry | Twelve-week cartridge forecast | Loading bay resurfacing | Emergency filtration reserve","The certified emergency reserve of 240 cartridges cannot be used for routine operations.","pending_human_audit"
"pair-05-lab-throughput-risk","pair-05","robustness_and_resilience_margin_vs_expected_performance_optimization","scientific_technical_investigation","cue_conflict","professional_artifact","critique_revision","open_ended","Critique the proposal to use 48-sample batches for every run and produce a revised batching rule that balances throughput with contamination exposure.","Reagent lot contamination review | Friday microscopy seminar | Batch size comparison | Weekly sample arrivals | Validated control frequency","A contaminated batch must not invalidate more than 48 samples and control samples must be included at the validated frequency.","pending_human_audit"
"pair-06-reading-support-pilot","pair-06","evidential_threshold_vs_action_based_learning","education_coaching","near_transfer","professional_artifact","recommendation","bounded","Write a recommendation on whether to introduce the new reading-support routine next term. Decide whether the current evidence warrants implementation or a further preimplementation study.","Four-classroom reading routine pilot | Summer library hours | Autumn implementation capacity | Pilot class selection | Instruction and accommodation boundary","Core reading instruction and existing accessibility accommodations must continue for every learner.","pending_human_audit"
"pair-06-live-search-layout","pair-06","evidential_threshold_vs_action_based_learning","product_service_operations","far_transfer","dialogue","allocation_prioritization","open_ended","Allocate initial traffic between the current and redesigned search layouts after promising prototype sessions. Define the next product action and how traffic changes with evidence.","Search redesign usability sessions | Experiment and rollback capability | Full launch recommendation | Saved-search compatibility audit | Search icon color options","Users must retain access to saved searches and the existing layout must be recoverable within one hour.","pending_human_audit"
"pair-06-source-authentication-gate","pair-06","evidential_threshold_vs_action_based_learning","editorial_creative_strategy","boundary_condition","professional_artifact","design_threshold","bounded","Write a publication gate for a newly surfaced audio clip after an editor proposes publishing it as an experiment. Define what can happen now and what evidence is required for attribution.","Audio file provenance review | Voice and edit analysis | Attribution and consent standard | Autumn episode calendar | Publish-and-correct proposal","The clip may not be attributed to the named speaker until provenance and consent are verified.","pending_human_audit"
"pair-06-team-boundary-experiment","pair-06","evidential_threshold_vs_action_based_learning","organizational_design","cue_conflict","dialogue","critique_revision","open_ended","Critique the proposed two-person cross-functional pool and revise the eight-analyst design. Decide whether the causal uncertainty warrants waiting or a bounded operating experiment.","Six-week shared-pool design | Team manager interviews | Analyst workload and delays | Graduate recruiting events | Sources of cross-team delay","Each regulated reporting team must retain at least one qualified analyst and monthly filings may not be delayed.","pending_human_audit"
"pair-07-editorial-research-capability","pair-07","long_term_capability_building_vs_immediate_delivery","editorial_creative_strategy","near_transfer","dialogue","recommendation","bounded","Recommend a research staffing model for a six-part series after the editor proposes outsourcing all research. Address both the deadline and the team's future source-checking capability.","Source verification responsibility | Series color palette | Six-part research workload | Complete agency research proposal | Internal research capability review","Every episode must receive independent source verification before publication on 18 October.","pending_human_audit"
"pair-07-community-grant-administration","pair-07","long_term_capability_building_vs_immediate_delivery","public_resource_allocation","far_transfer","professional_artifact","allocation_prioritization","open_ended","Prepare a staffing allocation for processing 240 community-grant applications. Balance a reliable external review service with building internal assessment capability.","Grant review workload | Applicant information-session venue | Full-service review offer | Next-year grant expansion | Independent review and conflicts","All applications need two independent reviews and decisions must issue by 15 November.","pending_human_audit"
"pair-07-certified-repair-deadline","pair-07","long_term_capability_building_vs_immediate_delivery","scientific_technical_investigation","boundary_condition","dialogue","design_threshold","bounded","Advise the laboratory director who wants trainees to repair a failed containment monitor before tomorrow's study run. Define the repair and learning plan.","Supervised trainee repair | Containment monitor service rule | Study run and sample viability | Certified service options | Electronics workshop dates","Only a certified engineer may return the containment monitor to service; the study cannot run without a validated monitor.","pending_human_audit"
"pair-07-security-operations-handoff","pair-07","long_term_capability_building_vs_immediate_delivery","security_reliability","cue_conflict","professional_artifact","critique_revision","open_ended","Critique the managed provider's proposal to triage every overnight alert without case-level notes. Produce a revised operating model that preserves response speed and builds internal detection expertise.","Managed detection proposal | Internal analyst development plan | Alert and containment authority | Overnight alert profile | Office badge replacement","Critical alerts require a human acknowledgment within ten minutes and production containment remains an internal authority.","pending_human_audit"
"pair-08-portfolio-summary-language","pair-08","source_fidelity_vs_audience_utility","procurement_portfolio_allocation","near_transfer","professional_artifact","recommendation","bounded","Prepare a one-page investor update that recommends how the next allocation review should treat three portfolio results. Make it useful to nontechnical readers without overstating the evaluations.","Investor comprehension interviews | Evidence language guide | Investor update page dimensions | Portfolio evaluation results | Draft investor headlines","Observational results may not be described as causal and the failed primary endpoint must remain explicit.","pending_human_audit"
"pair-08-research-briefing-order","pair-08","source_fidelity_vs_audience_utility","scientific_technical_investigation","far_transfer","dialogue","allocation_prioritization","open_ended","Allocate a six-minute program briefing across the battery mechanism, practical relevance, limitations, and next experiment. Decide their order and prominence for non-specialists.","Program manager interview | Solid-electrolyte cycling result | Patent committee dates | Program briefing draft | Interface-resistance analysis","The briefing may not claim field lifetime or safety performance that was not measured.","pending_human_audit"
"pair-08-statutory-policy-notice","pair-08","source_fidelity_vs_audience_utility","organizational_design","boundary_condition","professional_artifact","design_threshold","bounded","Design an editorial rule for the employee policy notice and apply it to produce a compliant, readable version that preserves the legally required text.","Notice email distribution groups | Short employee notice draft | Required statutory paragraph | Notice comprehension test | Required text and explanatory material","The statutory notice paragraph must appear verbatim and may not be shortened, paraphrased, or moved behind a link.","pending_human_audit"
"pair-08-coaching-progress-message","pair-08","source_fidelity_vs_audience_utility","education_coaching","cue_conflict","dialogue","critique_revision","open_ended","Critique the coach's draft progress message and rewrite it for the learner. The revision must be motivating and actionable while accurately representing mixed evidence about independent transfer.","Summer mathematics club | Coach's draft progress message | Learner reflection | Next-cycle support options | Six-week mathematics progress record","Do not describe supported performance as independent mastery or imply that one unsuccessful task defines the learner's ability.","pending_human_audit"
